Id,Name,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Weight,Height,Image_File,Is_Legendary
1,bulbasaur,45,49,49,65,65,45,69,7,1.png,0
2,ivysaur,60,62,63,80,80,60,130,10,2.png,0
3,venusaur,80,82,83,100,100,80,1000,20,3.png,0
4,charmander,39,52,43,60,50,65,85,6,4.png,0
5,charmeleon,58,64,58,80,65,80,190,11,5.png,0
6,charizard,78,84,78,109,85,100,905,17,6.png,0
7,squirtle,44,48,65,50,64,43,90,5,7.png,0
8,wartortle,59,63,80,65,80,58,225,10,8.png,0
9,blastoise,79,83,100,85,105,78,855,16,9.png,0
10,caterpie,45,30,35,20,20,45,29,3,10.png,0
11,metapod,50,20,55,25,25,30,99,7,11.png,0
12,butterfree,60,45,50,90,80,70,320,11,12.png,0
13,weedle,40,35,30,20,20,50,32,3,13.png,0
14,kakuna,45,25,50,25,25,35,100,6,14.png,0
15,beedrill,65,90,40,45,80,75,295,10,15.png,0
16,pidgey,40,45,40,35,35,56,18,3,16.png,0
17,pidgeotto,63,60,55,50,50,71,300,11,17.png,0
18,pidgeot,83,80,75,70,70,101,395,15,18.png,0
19,rattata,30,56,35,25,35,72,35,3,19.png,0
20,raticate,55,81,60,50,70,97,185,7,20.png,0
21,spearow,40,60,30,31,31,70,20,3,21.png,0
22,fearow,65,90,65,61,61,100,380,12,22.png,0
23,ekans,35,60,44,40,54,55,69,20,23.png,0
24,arbok,60,95,69,65,79,80,650,35,24.png,0
25,pikachu,35,55,40,50,50,90,60,4,25.png,0
26,raichu,60,90,55,90,80,110,300,8,26.png,0
27,sandshrew,50,75,85,20,30,40,120,6,27.png,0
28,sandslash,75,100,110,45,55,65,295,10,28.png,0
29,nidoran-f,55,47,52,40,40,41,70,4,29.png,0
30,nidorina,70,62,67,55,55,56,200,8,30.png,0
31,nidoqueen,90,92,87,75,85,76,600,13,31.png,0
32,nidoran-m,46,57,40,40,40,50,90,5,32.png,0
33,nidorino,61,72,57,55,55,65,195,9,33.png,0
34,nidoking,81,102,77,85,75,85,620,14,34.png,0
35,clefairy,70,45,48,60,65,35,75,6,35.png,0
36,clefable,95,70,73,95,90,60,400,13,36.png,0
37,vulpix,38,41,40,50,65,65,99,6,37.png,0
38,ninetales,73,76,75,81,100,100,199,11,38.png,0
39,jigglypuff,115,45,20,45,25,20,55,5,39.png,0
40,wigglytuff,140,70,45,85,50,45,120,10,40.png,0
41,zubat,40,45,35,30,40,55,75,8,41.png,0
42,golbat,75,80,70,65,75,90,550,16,42.png,0
43,oddish,45,50,55,75,65,30,54,5,43.png,0
44,gloom,60,65,70,85,75,40,86,8,44.png,0
45,vileplume,75,80,85,110,90,50,186,12,45.png,0
46,paras,35,70,55,45,55,25,54,3,46.png,0
47,parasect,60,95,80,60,80,30,295,10,47.png,0
48,venonat,60,55,50,40,55,45,300,10,48.png,0
49,venomoth,70,65,60,90,75,90,125,15,49.png,0
50,diglett,10,55,25,35,45,95,8,2,50.png,0
51,dugtrio,35,100,50,50,70,120,333,7,51.png,0
52,meowth,40,45,35,40,40,90,42,4,52.png,0
53,persian,65,70,60,65,65,115,320,10,53.png,0
54,psyduck,50,52,48,65,50,55,196,8,54.png,0
55,golduck,80,82,78,95,80,85,766,17,55.png,0
56,mankey,40,80,35,35,45,70,280,5,56.png,0
57,primeape,65,105,60,60,70,95,320,10,57.png,0
58,growlithe,55,70,45,70,50,60,190,7,58.png,0
59,arcanine,90,110,80,100,80,95,1550,19,59.png,0
60,poliwag,40,50,40,40,40,90,124,6,60.png,0
61,poliwhirl,65,65,65,50,50,90,200,10,61.png,0
62,poliwrath,90,95,95,70,90,70,540,13,62.png,0
63,abra,25,20,15,105,55,90,195,9,63.png,0
64,kadabra,40,35,30,120,70,105,565,13,64.png,0
65,alakazam,55,50,45,135,95,120,480,15,65.png,0
66,machop,70,80,50,35,35,35,195,8,66.png,0
67,machoke,80,100,70,50,60,45,705,15,67.png,0
68,machamp,90,130,80,65,85,55,1300,16,68.png,0
69,bellsprout,50,75,35,70,30,40,40,7,69.png,0
70,weepinbell,65,90,50,85,45,55,64,10,70.png,0
71,victreebel,80,105,65,100,70,70,155,17,71.png,0
72,tentacool,40,40,35,50,100,70,455,9,72.png,0
73,tentacruel,80,70,65,80,120,100,550,16,73.png,0
74,geodude,40,80,100,30,30,20,200,4,74.png,0
75,graveler,55,95,115,45,45,35,1050,10,75.png,0
76,golem,80,120,130,55,65,45,3000,14,76.png,0
